season,place,acronym,team,points,played,won,draw,loss,goals_for,goals_against,goals_diff
2003,1,CRU,Cruzeiro,100,46,31,7,8,102,47,55
2003,2,SAN,Santos,87,46,25,12,9,93,60,33
2003,3,SAO,SaoPaulo,78,46,22,12,12,81,67,14
2003,4,SCA,SaoCaetano,74,46,19,14,13,53,37,16
2003,5,CFC,Coritiba,73,46,21,10,15,67,58,9
2003,6,CAM,Atletico-MG,72,46,19,15,12,76,62,14
2003,7,INT,Internacional,72,46,20,10,16,59,57,2
2003,8,FLA,Flamengo,66,46,18,12,16,66,73,-7
2003,9,GOI,Goias,65,46,18,11,17,78,63,15
2003,10,PAR,Parana,65,46,18,11,17,85,75,10
2003,11,FIG,Figueirense,65,46,17,14,15,62,54,8
2003,12,CAP,Athletico-PR,61,46,17,10,19,67,72,-5
2003,13,GUA,Guarani,61,46,17,10,19,64,72,-8
2003,14,CRI,Criciuma,60,46,17,9,20,57,69,-12
2003,15,COR,Corinthians,59,46,15,12,19,61,63,-2
2003,16,VIT,Vitoria,56,46,15,11,20,50,64,-14
2003,17,VAS,Vasco,54,46,13,15,18,57,69,-12
2003,18,JUV,Juventude,53,46,12,14,20,55,70,-15
2003,19,FLU,Fluminense,52,46,13,11,22,52,77,-25
2003,20,PON,PontePreta,50,46,11,18,17,63,73,-10
2003,21,GRE,Gremio,50,46,13,11,22,54,68,-14
2003,22,PAY,Paysandu,49,46,15,12,19,74,77,-3
2003,23,FOR,Fortaleza,49,46,12,13,21,58,74,-16
2003,24,ECB,Bahia,46,46,12,10,24,59,92,-33
2004,1,SAN,Santos,89,46,27,8,11,103,58,45
2004,2,CAP,Athletico-PR,86,46,25,11,10,93,56,37
2004,3,SAO,SaoPaulo,82,46,24,10,12,78,43,35
2004,4,PAL,Palmeiras,79,46,22,13,11,72,47,25
2004,5,COR,Corinthians,74,46,20,14,12,54,54,0
2004,6,GOI,Goias,72,46,21,9,16,81,68,13
2004,7,JUV,Juventude,70,46,20,10,16,60,66,-6
2004,8,INT,Internacional,67,46,20,7,19,66,59,7
2004,9,FLU,Fluminense,67,46,18,13,15,65,68,-3
2004,10,PON,PontePreta,64,46,19,7,20,43,73,-30
2004,11,FIG,Figueirense,63,46,17,12,17,57,59,-2
2004,12,CFC,Coritiba,62,46,15,17,14,53,48,5
2004,13,CRU,Cruzeiro,56,46,16,8,22,69,81,-12
2004,14,PAY,Paysandu,56,46,14,14,18,56,76,-20
2004,15,PAR,Parana,54,46,15,9,22,52,73,-21
2004,16,VAS,Vasco,54,46,14,12,20,64,68,-4
2004,17,FLA,Flamengo,54,46,13,15,18,51,53,-2
2004,18,SCA,SaoCaetano,53,46,23,8,15,65,49,16
2004,19,CAM,Atletico-MG,53,46,12,17,17,60,66,-6
2004,20,BOT,Botafogo,51,46,11,18,17,62,71,-9
2004,21,CRI,Criciuma,50,46,13,11,22,61,78,-17
2004,22,GUA,Guarani,49,46,11,16,19,43,55,-12
2004,23,VIT,Vitoria,48,46,13,9,24,68,87,-19
2004,24,GRE,Gremio,39,46,9,12,25,60,80,-20
2005,1,COR,Corinthians,81,42,24,9,9,87,59,28
2005,2,INT,Internacional,78,42,23,9,10,72,49,23
2005,3,GOI,Goias,74,42,22,8,12,68,51,17
2005,4,PAL,Palmeiras,70,42,20,10,12,81,65,16
2005,5,FLU,Fluminense,68,42,19,11,12,79,70,9
2005,6,CAP,Athletico-PR,61,42,18,7,17,76,67,9
2005,7,PAR,Parana,61,42,17,10,15,59,51,8
2005,8,CRU,Cruzeiro,60,42,17,9,16,73,72,1
2005,9,BOT,Botafogo,59,42,17,8,17,57,56,1
2005,10,SAN,Santos,59,42,16,11,15,68,71,-3
2005,11,SAO,SaoPaulo,58,42,16,10,16,77,67,10
2005,12,VAS,Vasco,56,42,15,11,16,74,84,-10
2005,13,FOR,Fortaleza,55,42,16,7,19,58,64,-6
2005,14,JUV,Juventude,55,42,15,10,17,66,72,-6
2005,15,FLA,Flamengo,55,42,14,13,15,56,60,-4
2005,16,FIG,Figueirense,53,42,14,11,17,65,72,-7
2005,17,SCA,SaoCaetano,52,42,14,10,18,54,60,-6
2005,18,PON,PontePreta,51,42,15,6,21,63,80,-17
2005,19,CFC,Coritiba,49,42,13,10,19,51,60,-9
2005,20,CAM,Atletico-MG,47,42,13,8,21,54,59,-5
2005,21,PAY,Paysandu,41,42,12,5,25,63,92,-29
2005,22,BRA,Brasiliense,41,42,10,11,21,47,67,-20
2006,1,SAO,SaoPaulo,78,38,22,12,4,66,32,34
2006,2,INT,Internacional,69,38,20,9,9,52,36,16
2006,3,GRE,Gremio,67,38,20,7,11,64,45,19
2006,4,SAN,Santos,64,38,18,10,10,58,36,22
2006,5,PAR,Parana,60,38,18,6,14,56,49,7
2006,6,VAS,Vasco,59,38,15,14,9,57,50,7
2006,7,FIG,Figueirense,57,38,15,12,11,52,44,8
2006,8,GOI,Goias,55,38,15,10,13,63,49,14
2006,9,COR,Corinthians,53,38,15,8,15,41,46,-5
2006,10,CRU,Cruzeiro,53,38,14,11,13,52,45,7
2006,11,FLA,Flamengo,52,38,15,7,16,44,48,-4
2006,12,BOT,Botafogo,51,38,13,12,13,52,50,2
2006,13,CAP,Athletico-PR,48,38,13,9,16,61,62,-1
2006,14,JUV,Juventude,47,38,13,8,17,44,54,-10
2006,15,FLU,Fluminense,45,38,11,12,15,48,58,-10
2006,16,PAL,Palmeiras,44,38,12,8,18,58,70,-12
2006,17,PON,PontePreta,39,38,10,9,19,45,65,-20
2006,18,FOR,Fortaleza,38,38,8,14,16,39,62,-23
2006,19,SCA,SaoCaetano,36,38,9,9,20,37,53,-16
2007,1,SAO,SaoPaulo,77,38,23,8,7,55,19,36
2007,2,SAN,Santos,62,38,19,5,14,57,47,10
2007,3,FLA,Flamengo,61,38,17,10,11,55,49,6
2007,4,FLU,Fluminense,61,38,16,13,9,57,39,18
2007,5,CRU,Cruzeiro,60,38,18,6,14,73,58,15
2007,6,GRE,Gremio,58,38,17,7,14,44,43,1
2007,7,PAL,Palmeiras,58,38,16,10,12,48,47,1
2007,8,CAM,Atletico-MG,55,38,15,10,13,63,51,12
2007,9,BOT,Botafogo,55,38,14,13,11,62,58,4
2007,10,VAS,Vasco,54,38,15,9,14,58,47,11
2007,11,INT,Internacional,54,38,15,9,14,49,44,5
2007,12,CAP,Athletico-PR,54,38,14,12,12,51,50,1
2007,13,FIG,Figueirense,53,38,14,11,13,57,56,1
2007,14,SPO,Sport,51,38,14,9,15,54,55,-1
2007,15,NAU,Nautico,49,38,14,7,17,66,63,3
2007,16,GOI,Goias,45,38,13,6,19,49,62,-13
2007,17,COR,Corinthians,44,38,10,14,14,40,50,-10
2007,18,JUV,Juventude,41,38,11,8,19,43,65,-22
2007,19,PAR,Parana,41,38,11,8,19,42,64,-22
2007,20,AFC,America-RN,17,38,4,5,29,24,80,-56
2008,1,SAO,SaoPaulo,75,38,21,12,5,66,36,30
2008,2,GRE,Gremio,72,38,21,9,8,59,35,24
2008,3,CRU,Cruzeiro,67,38,21,4,13,59,44,15
2008,4,PAL,Palmeiras,65,38,19,8,11,55,45,10
2008,5,FLA,Flamengo,64,38,18,10,10,67,48,19
2008,6,INT,Internacional,54,38,15,9,14,48,47,1
2008,7,BOT,Botafogo,53,38,15,8,15,51,44,7
2008,8,GOI,Goias,53,38,14,11,13,57,47,10
2008,9,CFC,Coritiba,53,38,14,11,13,55,48,7
2008,10,VIT,Vitoria,52,38,15,7,16,48,44,4
2008,11,SPO,Sport,52,38,14,10,14,48,45,3
2008,12,CAM,Atletico-MG,48,38,12,12,14,50,61,-11
2008,13,CAP,Athletico-PR,45,38,12,9,17,45,54,-9
2008,14,FLU,Fluminense,45,38,11,12,15,49,48,1
2008,15,SAN,Santos,45,38,11,12,15,44,53,-9
2008,16,NAU,Nautico,44,38,11,11,16,44,54,-10
2008,17,FIG,Figueirense,44,38,11,11,16,49,73,-24
2008,18,VAS,Vasco,40,38,11,7,20,56,72,-16
2008,19,POR,Portuguesa,38,38,9,11,18,48,70,-22
2008,20,IPA,Ipatinga,35,38,9,8,21,37,67,-30
2009,1,FLA,Flamengo,67,38,19,10,9,58,44,14
2009,2,INT,Internacional,65,38,19,8,11,65,44,21
2009,3,SAO,SaoPaulo,65,38,18,11,9,57,42,15
2009,4,CRU,Cruzeiro,62,38,18,8,12,58,53,5
2009,5,PAL,Palmeiras,62,38,17,11,10,58,45,13
2009,6,AVA,Avai,57,38,15,12,11,61,52,9
2009,7,CAM,Atletico-MG,56,38,16,8,14,55,56,-1
2009,8,GRE,Gremio,55,38,15,10,13,67,46,21
2009,9,GOI,Goias,55,38,15,10,13,64,65,-1
2009,10,COR,Corinthians,52,38,14,10,14,50,54,-4
2009,11,BAR,Barueri,49,38,12,13,13,59,52,7
2009,12,SAN,Santos,49,38,12,13,13,58,58,0
2009,13,VIT,Vitoria,48,38,13,9,16,51,57,-6
2009,14,CAP,Athletico-PR,48,38,13,9,16,42,49,-7
2009,15,BOT,Botafogo,47,38,11,14,13,52,58,-6
2009,16,FLU,Fluminense,46,38,11,13,14,49,56,-7
2009,17,CFC,Coritiba,45,38,12,9,17,48,60,-12
2009,18,STA,SantoAndre,41,38,11,8,19,46,61,-15
2009,19,NAU,Nautico,38,38,10,8,20,48,71,-23
2009,20,SPO,Sport,31,38,7,10,21,48,71,-23
2010,1,FLU,Fluminense,71,38,20,11,7,62,36,26
2010,2,CRU,Cruzeiro,69,38,20,9,9,53,38,15
2010,3,COR,Corinthians,68,38,19,11,8,65,41,24
2010,4,GRE,Gremio,63,38,17,12,9,68,43,25
2010,5,CAP,Athletico-PR,60,38,17,9,12,43,45,-2
2010,6,BOT,Botafogo,59,38,14,17,7,54,42,12
2010,7,INT,Internacional,58,38,16,10,12,48,41,7
2010,8,SAN,Santos,56,38,15,11,12,63,50,13
2010,9,SAO,SaoPaulo,55,38,15,10,13,54,54,0
2010,10,PAL,Palmeiras,50,38,12,14,12,42,43,-1
2010,11,VAS,Vasco,49,38,11,16,11,43,45,-2
2010,12,CEA,Ceara,47,38,10,17,11,35,44,-9
2010,13,CAM,Atletico-MG,45,38,13,6,19,52,64,-12
2010,14,FLA,Flamengo,44,38,9,17,12,41,44,-3
2010,15,AVA,Avai,43,38,11,10,17,49,58,-9
2010,16,ACG,Atletico-GO,42,38,11,9,18,51,57,-6
2010,17,VIT,Vitoria,42,38,9,15,14,42,48,-6
2010,18,GUA,Guarani,37,38,8,13,17,33,53,-20
2010,19,GOI,Goias,33,38,8,9,21,41,68,-27
